Country Name,Year,Population,GDP_USD,gdp_per_capita
Germany,1990,79433029.0,1778162195860.0654,22385.677825027487
Germany,1991,80013896.0,1875792575132.587,23443.33508185362
Germany,1992,80624598.0,2141377582968.0652,26559.85438796315
Germany,1993,81156363.0,2078954217437.596,25616.65087724047
Germany,1994,81438348.0,2215282632276.7266,27201.959355520405
Germany,1995,81678051.0,2593053091306.128,31747.244939844706
Germany,1996,81914831.0,2506576553158.305,30599.78910483628
Germany,1997,82034771.0,2218790886532.822,27046.95654642373
Germany,1998,82047195.0,2247760364565.9663,27395.94406080508
Germany,1999,82100243.0,2213873468586.8774,26965.492277372156
Germany,2000,82211508.0,1966980701145.1023,23925.855990199114
Germany,2001,82349925.0,1966381496641.7346,23878.364147165095
Germany,2002,82488495.0,2102350798305.886,25486.59420087475
Germany,2003,82534176.0,2534715518349.014,30711.102251133085
Germany,2004,82516260.0,2852317768061.7837,34566.73591437353
Germany,2005,82469422.0,2893393187361.866,35084.43635462689
Germany,2006,82376451.0,3046308753670.584,36980.33499489538
Germany,2007,82266372.0,3484056680854.913,42350.92172114887
Germany,2008,82110097.0,3808786022312.499,46386.329592479946
Germany,2009,81902307.0,3479800820863.279,42487.21371014957
Germany,2010,81776930.0,3468154343000.007,42409.93569946936
Germany,2011,80274983.0,3824828563521.408,47646.58204314298
Germany,2012,80425823.0,3597896500945.3135,44735.58823197014
Germany,2013,80645605.0,3808086291482.364,47220.010209885135
Germany,2014,80982500.0,3965800686309.79,48971.082472259935
Germany,2015,81686611.0,3423568450957.0293,41911.01098510537
Germany,2016,82348669.0,3537784107980.553,42961.035690577504
Germany,2017,82657002.0,3763092263752.9478,45526.599957653285
Germany,2018,82905782.0,4052008447223.5264,48874.859502845364
Germany,2019,83092962.0,3957208055215.6797,47623.865607482854
Germany,2020,83160871.0,3940142541354.0967,47379.76519454801
Germany,2021,83196078.0,4348297440387.527,52265.65416205709
Germany,2022,83797985.0,4163596357879.3936,49686.11545825826
Germany,2023,83901923.0,4525703903627.531,53940.407344746214
Germany,2024,83510950.0,4659929336890.624,55800.21945494122
Greece,1990,10196792.0,96529587274.29063,9466.662385021744
Greece,1991,10319927.0,103680863712.84352,10046.666387547462
Greece,1992,10399061.0,114608178405.43439,11021.012224607048
Greece,1993,10460415.0,107295704518.43045,10257.308578907285
Greece,1994,10512922.0,114980063202.2472,10937.022380861115
Greece,1995,10562153.0,134974613913.81087,12779.081491606008
Greece,1996,10608800.0,142502984144.96036,13432.526218324443
Greece,1997,10661259.0,138766067640.08487,13015.91750468541
Greece,1998,10720509.0,139612812175.71774,13022.964877480887
Greece,1999,10761698.0,137131371955.30725,12742.540438814325
Greece,2000,10805808.0,125760166224.80498,11638.201069721485
Greece,2001,10862132.0,132050474720.03008,12156.957282422094
Greece,2002,10902022.0,150253800085.8646,13782.195640942991
Greece,2003,10928070.0,196930509813.3843,18020.612039764048
Greece,2004,10955141.0,234979615898.22455,21449.255276424516
Greece,2005,10987314.0,242315668619.40533,22054.131575688592
Greece,2006,11020362.0,269073415333.6761,24416.023297027456
Greece,2007,11048473.0,314226996944.10803,28440.762532895544
Greece,2008,11077841.0,351121399546.4851,31695.83310922093
Greece,2009,11107017.0,326829054686.306,29425.457320026253
Greece,2010,11121341.0,296417644404.0339,26653.048800862583
Greece,2011,11104899.0,283228079776.04144,25504.786651012444
Greece,2012,11045011.0,238841140018.23288,21624.346052551045
Greece,2013,10965211.0,236556279640.70538,21573.344976280474
Greece,2014,10892413.0,233911581521.06232,21474.725712389194
Greece,2015,10820883.0,194567373678.09912,17980.72982381374
Greece,2016,10775971.0,193097239005.87012,17919.24263770477
Greece,2017,10754679.0,200381103984.298,18631.99301292935
Greece,2018,10732882.0,213298873494.3936,19873.401523877146
Greece,2019,10721582.0,207305649887.0193,19335.360200296866
Greece,2020,10698599.0,191362985554.86124,17886.733165236048
Greece,2021,10569207.0,218303801895.32596,20654.7001960815
Greece,2022,10436882.0,218880566444.3491,20971.834925828334
Greece,2023,10405588.0,243498333237.80234,23400.727881769137
Greece,2024,10388805.0,257144811301.6726,24752.106840168104
Sweden,1990,8558835.0,261469578630.80353,30549.669275176297
Sweden,1991,8617375.0,273834608019.8429,31777.03279941315
Sweden,1992,8668067.0,283912173666.6781,32753.804702556878
Sweden,1993,8718561.0,212647043708.40506,24390.15380042705
Sweden,1994,8780745.0,228701658890.61688,26045.814892770133
Sweden,1995,8826939.0,267052836695.49857,30254.29729326311
Sweden,1996,8840998.0,291952430659.1112,33022.564947883846
Sweden,1997,8846062.0,268251974485.58594,30324.45109310628
Sweden,1998,8850974.0,270889570937.9992,30605.622718810293
Sweden,1999,8857874.0,274320415375.6778,30969.1033509483
Sweden,2000,8872109.0,262905197441.66248,29632.773610159937
Sweden,2001,8895960.0,242499249692.616,27259.480673543494
Sweden,2002,8924958.0,267373345246.5313,29957.938765261562
Sweden,2003,8958229.0,334074051172.97156,37292.42143430041
Sweden,2004,8993531.0,384547211147.2465,42758.20155034174
Sweden,2005,9029572.0,391690329314.4746,43378.61521171487
Sweden,2006,9080505.0,422530427475.5361,46531.60011205721
Sweden,2007,9148092.0,490050156832.57385,53568.56455232127
Sweden,2008,9219637.0,514616528348.83405,55817.43927107261
Sweden,2009,9298515.0,434313804907.3663,46707.8673215418
Sweden,2010,9378126.0,492753255885.71826,52542.82741410365
Sweden,2011,9449213.0,570541353128.7235,60379.77481603214
Sweden,2012,9519374.0,549742183874.3553,57749.825132866434
Sweden,2013,9600379.0,584128116410.29,60844.27671139754
Sweden,2014,9696110.0,577730245154.1624,59583.71400016732
Sweden,2015,9799186.0,501698263620.6632,51197.95293411751
Sweden,2016,9923085.0,514218206628.3252,51820.39724826757
Sweden,2017,10057698.0,536083940228.68365,53300.85872817852
Sweden,2018,10175214.0,551312498430.1636,54181.90697809045
Sweden,2019,10278887.0,532169294165.9397,51773.04645589933
Sweden,2020,10353442.0,545147614972.1406,52653.75659342474
Sweden,2021,10415811.0,637186904843.6361,61174.96802156223
Sweden,2022,10486941.0,579895717343.956,55296.93714725353
Sweden,2023,10536632.0,585489968189.0636,55567.089008049596
Sweden,2024,10569709.0,610117791237.0891,57723.23450315322
